FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
1/1/2024,1,-99,5,5,-99,7,3,4,10,4,7,2,4,-99,3,-99,1,6,8,-99,11,6,-99,4,2,-99,-99,3,8,-99,-99,2,7,4
1/1/2024,2,-99,6,4,-99,5,2,2,6,5,4,2,6,-99,7,-99,2,5,5,-99,6,8,-99,5,2,-99,-99,5,6,-99,-99,2,9,4
1/1/2024,3,-99,6,4,-99,4,2,4,5,3,3,4,3,-99,16,-99,2,5,5,-99,-99,7,-99,4,3,-99,-99,4,4,-99,-99,4,13,5
1/1/2024,4,-99,6,3,-99,5,1,4,5,3,2,4,3,-99,6,-99,2,5,4,-99,4,6,-99,5,4,-99,-99,3,3,-99,-99,3,7,4
1/1/2024,5,-99,5,3,-99,3,1,2,6,2,2,3,3,-99,4,-99,2,5,4,-99,3,4,-99,4,3,-99,-99,3,3,-99,-99,2,6,4
1/1/2024,6,-99,4,2,-99,2,1,2,5,2,1,2,3,-99,3,-99,2,5,3,-99,4,3,-99,3,2,-99,-99,2,4,-99,-99,2,6,4
1/1/2024,7,-99,5,2,-99,2,1,3,4,2,1,2,3,-99,3,-99,2,5,2,-99,5,3,-99,3,2,-99,-99,3,3,-99,-99,2,4,4
1/1/2024,8,-99,4,2,-99,2,1,3,4,2,1,1,3,-99,3,-99,2,6,3,-99,4,3,-99,3,2,-99,-99,2,3,-99,-99,2,3,3
1/1/2024,9,-99,6,5,-99,3,2,2,5,4,6,-99,5,-99,-99,-99,4,9,6,-99,6,3,-99,4,3,-99,-99,3,4,-99,-99,3,4,5
1/1/2024,10,-99,5,8,-99,5,3,-99,5,6,7,4,5,-99,4,-99,6,8,6,-99,5,5,-99,6,4,-99,-99,4,12,-99,-99,4,5,17
1/1/2024,11,-99,5,9,-99,6,4,5,3,7,9,6,6,-99,5,-99,7,9,7,-99,4,7,-99,7,5,-99,-99,-99,13,-99,-99,6,6,19
1/1/2024,12,-99,4,5,-99,5,4,5,2,5,4,7,6,-99,6,-99,6,8,5,-99,4,6,-99,6,5,-99,-99,-99,10,-99,-99,5,8,10
1/1/2024,13,-99,4,5,-99,5,4,4,2,5,3,4,5,-99,5,-99,6,7,5,-99,4,4,-99,4,4,-99,-99,4,7,-99,-99,5,6,7
1/1/2024,14,-99,4,5,-99,5,4,4,2,6,4,4,5,-99,4,-99,5,6,6,-99,3,4,-99,3,3,-99,-99,4,8,-99,-99,3,5,-99
1/1/2024,15,-99,4,5,-99,4,3,3,2,5,4,4,3,-99,3,-99,4,5,5,-99,2,4,-99,3,3,-99,-99,3,7,-99,-99,2,4,-99
1/1/2024,16,-99,3,5,-99,2,2,2,2,5,4,3,2,-99,2,-99,3,5,3,-99,2,3,-99,3,2,-99,-99,2,6,-99,-99,2,3,-99
1/1/2024,17,-99,3,5,-99,2,1,2,2,4,3,3,2,-99,2,-99,2,4,3,-99,2,3,-99,3,2,-99,-99,2,6,-99,-99,2,3,-99
1/1/2024,18,-99,3,4,-99,2,2,2,2,4,3,3,2,-99,2,-99,2,4,3,-99,2,2,-99,2,2,-99,-99,2,6,-99,-99,1,2,-99
1/1/2024,19,-99,2,3,-99,2,1,2,2,4,3,3,2,-99,2,-99,3,4,3,-99,1,2,-99,3,3,-99,-99,2,5,-99,-99,1,3,-99
1/1/2024,20,-99,2,10,-99,2,1,2,1,4,2,3,2,-99,3,-99,3,4,3,-99,1,2,-99,3,3,-99,-99,2,7,-99,-99,2,1,-99
1/1/2024,21,-99,3,14,-99,3,1,2,4,3,10,2,2,-99,3,-99,2,4,5,-99,1,2,-99,2,2,-99,-99,2,4,-99,-99,2,1,-99
1/1/2024,22,-99,11,12,-99,4,2,2,11,2,10,2,6,-99,3,-99,2,5,10,-99,1,2,-99,2,2,-99,-99,3,4,-99,-99,1,1,-99
1/1/2024,23,-99,8,10,-99,-99,4,1,5,2,8,2,7,-99,7,-99,2,7,7,-99,1,-99,-99,2,1,-99,-99,2,3,-99,-99,3,1,-99
1/1/2024,24,-99,6,7,-99,-99,3,1,4,2,5,2,4,-99,5,-99,1,5,5,-99,2,2,-99,3,1,-99,-99,3,4,-99,-99,5,1,-99
2/1/2024,1,-99,6,4,-99,-99,2,1,3,3,3,2,3,-99,3,-99,1,5,5,-99,2,1,-99,2,1,-99,-99,3,3,-99,-99,2,1,-99
2/1/2024,2,-99,5,3,-99,-99,1,1,2,2,2,1,3,-99,2,-99,1,5,4,-99,3,2,-99,2,1,-99,-99,2,3,-99,-99,1,1,-99
2/1/2024,3,-99,4,3,-99,-99,1,1,1,2,1,1,3,-99,2,-99,1,5,4,-99,3,1,-99,2,1,-99,-99,1,3,-99,-99,1,1,-99
2/1/2024,4,-99,3,2,-99,-99,1,1,2,2,1,1,2,-99,2,-99,1,5,3,-99,2,1,-99,2,1,-99,-99,1,2,-99,-99,1,2,-99
2/1/2024,5,-99,3,2,-99,-99,0,2,1,1,1,1,2,-99,2,-99,1,4,3,-99,2,1,-99,1,1,-99,-99,1,2,-99,-99,1,2,-99
2/1/2024,6,-99,3,2,-99,-99,0,2,0,1,1,1,1,-99,2,-99,1,5,3,-99,1,3,-99,2,1,-99,-99,1,3,-99,-99,1,2,-99
2/1/2024,7,-99,3,2,-99,2,0,2,1,1,2,1,1,-99,2,-99,2,6,3,-99,1,3,-99,2,1,-99,-99,1,3,-99,-99,1,4,-99
2/1/2024,8,-99,4,3,-99,3,1,3,1,2,3,1,2,-99,4,-99,4,6,4,-99,2,4,-99,3,1,-99,-99,1,4,-99,-99,1,4,-99
2/1/2024,9,-99,3,4,-99,4,1,2,2,2,4,2,3,-99,4,-99,3,7,4,-99,2,4,-99,4,2,-99,-99,1,4,-99,-99,3,6,-99
2/1/2024,10,-99,3,4,-99,3,2,2,1,4,5,4,3,-99,3,-99,2,7,4,-99,2,4,-99,3,2,-99,-99,2,4,-99,-99,2,5,-99
2/1/2024,11,-99,2,4,-99,3,2,1,0,5,14,3,2,-99,2,-99,2,6,4,-99,1,2,-99,3,2,-99,-99,2,4,-99,-99,2,5,-99
2/1/2024,12,-99,2,3,-99,2,2,1,0,4,10,2,-99,-99,2,-99,1,4,3,-99,1,2,-99,2,2,-99,-99,2,2,-99,-99,2,4,-99
2/1/2024,13,-99,2,2,-99,1,1,1,0,4,2,2,-99,-99,1,-99,1,3,3,-99,1,2,-99,2,1,-99,-99,1,2,-99,-99,1,1,-99
2/1/2024,14,-99,2,1,-99,1,1,1,0,4,3,1,-99,-99,1,-99,1,3,2,-99,1,2,-99,1,1,-99,-99,1,2,-99,-99,1,1,-99
2/1/2024,15,-99,2,1,-99,1,1,1,0,3,2,1,-99,-99,1,-99,1,3,2,-99,1,1,-99,1,1,-99,-99,1,1,-99,-99,1,2,-99
2/1/2024,16,-99,1,2,-99,1,0,1,0,3,1,1,-99,-99,1,-99,1,3,2,-99,1,1,-99,1,1,-99,-99,1,-99,-99,-99,1,2,-99
2/1/2024,17,-99,1,2,-99,1,1,2,0,2,1,2,1,-99,1,-99,1,4,2,-99,1,2,-99,1,1,-99,-99,1,2,-99,-99,1,1,-99
2/1/2024,18,-99,1,1,-99,1,1,2,0,2,1,2,1,-99,2,-99,2,4,2,-99,1,2,-99,2,1,-99,-99,1,2,-99,-99,1,1,-99
2/1/2024,19,-99,2,1,-99,1,1,2,0,1,1,2,1,-99,2,-99,2,4,2,-99,1,2,-99,2,1,-99,-99,1,1,-99,-99,1,1,-99
2/1/2024,20,-99,2,-99,-99,1,1,2,0,1,1,2,1,-99,2,-99,2,4,2,-99,1,2,-99,1,2,-99,-99,1,1,-99,-99,1,1,-99
2/1/2024,21,-99,2,3,-99,1,1,2,0,1,2,2,1,-99,3,-99,2,4,2,-99,1,2,-99,1,1,-99,-99,1,2,-99,-99,1,1,-99
2/1/2024,22,-99,1,4,-99,1,1,1,0,2,1,2,1,-99,2,-99,2,4,2,-99,1,2,-99,2,2,-99,-99,1,2,-99,-99,1,2,-99
2/1/2024,23,-99,2,2,-99,2,1,1,0,2,2,4,1,-99,2,-99,2,4,2,-99,1,2,-99,2,1,-99,-99,1,3,-99,-99,1,1,-99
2/1/2024,24,-99,1,3,-99,2,1,1,0,1,2,2,1,-99,2,-99,1,4,2,-99,1,2,-99,1,1,-99,-99,1,3,-99,-99,1,1,-99
3/1/2024,1,-99,1,3,-99,2,1,1,0,2,2,2,1,-99,2,-99,1,4,2,-99,1,2,-99,1,1,-99,-99,1,2,-99,-99,1,2,-99
3/1/2024,2,-99,1,2,-99,2,0,1,0,2,1,1,1,-99,1,-99,1,4,2,-99,1,1,-99,1,1,-99,-99,1,3,-99,-99,1,1,-99
3/1/2024,3,-99,1,2,-99,2,1,1,0,2,1,1,1,-99,2,-99,1,4,2,-99,1,1,-99,1,1,-99,-99,1,2,-99,-99,1,1,-99
3/1/2024,4,-99,1,2,-99,2,1,1,0,1,1,1,1,-99,1,-99,1,4,2,-99,1,-99,-99,1,1,-99,-99,1,2,-99,-99,1,1,-99
3/1/2024,5,-99,1,1,-99,2,0,1,0,1,1,1,1,-99,1,-99,1,4,2,-99,1,1,-99,1,1,-99,-99,1,2,-99,-99,1,1,-99
3/1/2024,6,-99,1,2,-99,3,0,1,0,1,1,2,1,-99,1,-99,1,4,2,-99,1,2,-99,1,1,-99,-99,1,2,-99,-99,0,1,-99
3/1/2024,7,-99,1,2,-99,2,1,1,0,1,1,2,1,-99,2,-99,1,5,2,-99,1,1,-99,1,1,-99,-99,1,3,-99,-99,1,2,-99
3/1/2024,8,-99,1,3,-99,3,1,2,0,1,3,1,1,-99,2,-99,1,5,2,-99,1,1,-99,1,2,-99,-99,1,-99,-99,-99,1,3,-99
3/1/2024,9,-99,1,4,-99,3,2,2,0,1,4,3,1,-99,2,-99,1,4,2,-99,1,3,-99,2,2,-99,-99,1,4,-99,-99,1,3,-99
3/1/2024,10,-99,1,3,-99,3,2,1,0,2,5,3,1,-99,2,-99,2,5,3,-99,1,2,-99,2,2,-99,-99,1,3,-99,-99,1,3,-99
3/1/2024,11,-99,1,4,-99,1,1,1,0,3,5,1,1,-99,1,-99,2,5,3,-99,1,2,-99,1,1,-99,-99,1,3,-99,-99,1,3,-99
3/1/2024,12,-99,1,3,-99,1,1,1,0,2,2,1,1,-99,1,-99,1,4,2,-99,1,2,-99,1,1,-99,-99,1,4,-99,-99,0,2,-99
3/1/2024,13,-99,1,2,-99,1,0,1,0,2,1,2,1,-99,1,-99,1,3,2,-99,1,1,-99,1,1,-99,-99,1,5,-99,-99,0,1,-99
3/1/2024,14,-99,1,2,-99,1,0,1,0,2,1,2,1,-99,1,-99,1,3,2,-99,1,1,-99,1,1,-99,-99,1,5,-99,-99,0,1,-99
3/1/2024,15,-99,1,2,-99,1,1,2,0,2,1,-99,1,-99,1,-99,1,3,2,-99,1,1,-99,1,1,-99,-99,1,2,-99,-99,0,2,-99
3/1/2024,16,-99,1,2,-99,1,0,2,0,2,1,1,1,-99,1,-99,1,3,2,-99,1,1,-99,1,1,-99,-99,1,2,-99,-99,0,2,-99
3/1/2024,17,-99,1,1,-99,1,0,2,0,2,1,1,1,-99,1,-99,1,3,2,-99,1,1,-99,1,1,-99,-99,1,2,-99,-99,0,1,-99
3/1/2024,18,-99,1,1,-99,1,1,2,0,2,1,1,1,-99,1,-99,1,3,2,-99,1,1,-99,1,1,-99,-99,1,2,-99,-99,0,1,-99
3/1/2024,19,-99,1,2,-99,1,1,1,0,2,1,1,2,-99,2,-99,1,3,2,-99,1,1,-99,1,1,-99,-99,1,2,-99,-99,1,1,-99
3/1/2024,20,-99,1,2,-99,1,1,1,0,2,1,1,1,-99,1,-99,1,3,2,-99,1,1,-99,1,1,-99,-99,1,2,-99,-99,1,1,-99
3/1/2024,21,-99,1,2,-99,1,1,1,0,2,1,1,1,-99,1,-99,1,4,2,-99,1,1,-99,1,1,-99,-99,1,2,-99,-99,1,1,-99
3/1/2024,22,-99,1,3,-99,1,1,1,0,2,2,1,1,-99,1,-99,1,3,2,-99,1,1,-99,1,1,-99,-99,1,3,-99,-99,0,1,-99
3/1/2024,23,-99,1,2,-99,1,1,1,0,1,1,2,1,-99,1,-99,1,3,2,-99,1,2,-99,1,1,-99,-99,1,3,-99,-99,0,1,-99
3/1/2024,24,-99,1,2,-99,1,1,1,0,1,1,1,1,-99,1,-99,1,4,2,-99,1,1,-99,1,1,-99,-99,1,3,-99,-99,0,1,-99
4/1/2024,1,-99,1,2,-99,2,0,1,0,3,1,1,1,-99,1,-99,1,4,2,-99,1,1,0,1,1,-99,-99,1,3,-99,-99,0,2,-99
4/1/2024,2,-99,1,1,-99,2,0,1,0,2,0,1,1,-99,1,-99,1,4,2,-99,1,1,0,1,1,-99,-99,1,2,-99,-99,0,4,-99
4/1/2024,3,-99,1,1,-99,2,0,1,0,1,0,1,1,-99,1,-99,1,4,2,-99,1,1,0,1,1,-99,-99,1,2,-99,-99,0,12,-99
4/1/2024,4,-99,1,1,-99,4,0,1,0,1,0,1,1,-99,1,-99,1,4,2,-99,1,1,0,1,1,-99,-99,1,1,-99,-99,0,14,-99
4/1/2024,5,-99,1,1,-99,3,0,1,0,1,-99,1,1,-99,1,-99,1,4,2,-99,1,1,0,1,1,-99,-99,1,1,-99,-99,0,15,-99
4/1/2024,6,-99,1,2,-99,4,0,1,0,1,-99,1,1,-99,1,-99,1,4,2,-99,1,1,0,1,1,-99,-99,1,2,-99,-99,0,11,-99
4/1/2024,7,-99,1,2,-99,7,0,1,0,1,-99,1,1,-99,3,-99,1,6,2,-99,1,1,0,1,1,-99,-99,1,2,-99,-99,1,8,-99
4/1/2024,8,-99,1,3,-99,4,0,1,0,1,-99,1,2,-99,5,-99,1,7,3,-99,1,1,1,1,1,-99,-99,1,4,-99,-99,1,7,-99
4/1/2024,9,-99,2,3,-99,2,1,1,0,3,-99,1,2,-99,5,-99,1,6,3,-99,1,2,0,1,2,-99,-99,1,4,-99,-99,2,7,-99
4/1/2024,10,-99,1,4,-99,2,1,1,0,6,2,1,1,-99,2,-99,1,4,3,-99,1,1,0,1,1,-99,-99,2,2,-99,-99,0,6,-99
4/1/2024,11,-99,1,2,-99,1,1,1,0,5,1,1,1,-99,1,-99,1,3,2,-99,1,1,0,1,1,-99,-99,1,2,-99,-99,0,2,-99
4/1/2024,12,-99,1,1,-99,1,0,1,0,3,1,1,1,-99,1,-99,1,-99,2,-99,1,1,0,1,1,-99,-99,1,-99,-99,-99,0,1,-99
4/1/2024,13,-99,1,1,-99,1,0,1,0,2,1,1,1,-99,1,-99,1,-99,2,-99,1,1,0,1,1,-99,-99,0,-99,-99,-99,0,0,-99
4/1/2024,14,-99,1,1,-99,1,0,1,0,1,0,1,1,-99,1,-99,1,-99,2,-99,0,1,0,1,1,-99,-99,1,-99,-99,-99,0,-99,-99
4/1/2024,15,-99,1,1,-99,0,0,1,0,1,0,1,0,-99,1,-99,1,-99,1,-99,1,1,0,1,1,-99,-99,1,-99,-99,-99,0,-99,-99
4/1/2024,16,-99,1,1,-99,1,0,1,0,1,0,1,0,-99,1,-99,1,-99,1,-99,1,1,0,1,1,-99,-99,1,-99,-99,-99,0,-99,-99
4/1/2024,17,-99,1,1,-99,0,0,1,0,1,0,1,0,-99,1,-99,1,-99,1,-99,1,1,0,1,1,-99,-99,1,-99,-99,-99,0,-99,-99
4/1/2024,18,-99,1,1,-99,0,0,2,0,1,0,1,0,-99,1,-99,1,-99,1,-99,1,1,0,1,1,-99,-99,1,-99,-99,-99,0,-99,-99
4/1/2024,19,-99,1,1,-99,1,0,1,0,1,1,1,1,-99,1,-99,1,-99,1,-99,1,1,0,1,1,-99,-99,1,-99,-99,-99,0,-99,-99
4/1/2024,20,-99,1,1,-99,1,0,2,0,1,1,1,1,-99,1,-99,1,-99,1,-99,1,1,0,1,1,-99,-99,1,-99,-99,-99,1,-99,-99
4/1/2024,21,-99,1,1,-99,1,0,2,0,1,1,2,1,-99,1,-99,1,-99,2,-99,1,2,0,1,1,-99,-99,1,-99,-99,-99,0,-99,-99
4/1/2024,22,-99,1,1,-99,1,0,1,0,1,1,2,1,-99,1,-99,2,-99,2,-99,1,1,0,1,1,-99,-99,1,-99,-99,-99,0,-99,-99
4/1/2024,23,-99,1,1,-99,1,0,1,0,2,1,1,1,-99,1,-99,1,-99,2,-99,1,1,0,1,1,-99,-99,1,-99,-99,-99,0,-99,-99
4/1/2024,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/1/2024,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/1/2024,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/1/2024,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/1/2024,4,-99,1,1,-99,4,0,1,-99,2,1,1,1,-99,1,-99,-99,2,4,-99,2,1,0,1,1,-99,-99,1,-99,-99,-99,0,0,-99
5/1/2024,5,-99,1,1,-99,1,0,1,-99,2,1,1,1,-99,1,-99,-99,2,3,-99,1,1,0,1,1,-99,-99,1,-99,-99,-99,0,0,-99
5/1/2024,6,-99,1,1,-99,1,0,1,-99,2,1,1,1,-99,2,-99,-99,2,3,-99,1,1,0,1,1,-99,-99,1,-99,-99,-99,0,0,-99
5/1/2024,7,-99,1,1,-99,5,0,1,-99,2,2,1,1,-99,2,-99,-99,3,3,-99,1,1,0,1,1,-99,-99,1,-99,-99,-99,1,0,-99
5/1/2024,8,-99,1,2,-99,5,0,1,-99,3,2,1,1,-99,3,-99,-99,4,2,-99,1,1,-99,1,1,-99,-99,0,-99,-99,-99,2,1,-99
5/1/2024,9,-99,1,1,-99,3,1,1,0,5,15,1,1,-99,2,-99,-99,2,3,-99,1,1,0,1,1,-99,-99,1,2,-99,-99,0,1,-99
5/1/2024,10,-99,1,1,-99,1,1,1,0,3,2,1,0,-99,1,-99,-99,1,2,-99,1,1,0,1,1,-99,-99,0,2,-99,-99,0,0,-99
5/1/2024,11,-99,1,1,-99,1,0,1,0,2,1,1,0,-99,1,-99,-99,1,1,-99,1,1,0,1,0,-99,-99,0,2,-99,-99,0,0,-99
5/1/2024,12,-99,1,-99,-99,1,0,1,0,1,1,1,0,-99,1,-99,-99,1,1,-99,1,1,0,1,1,-99,-99,1,4,-99,-99,0,0,-99
5/1/2024,13,-99,1,-99,-99,1,0,1,0,1,0,1,0,-99,1,-99,0,1,1,-99,1,1,0,1,0,-99,-99,1,2,-99,-99,0,0,-99
5/1/2024,14,-99,1,-99,-99,0,0,1,0,1,1,1,0,-99,1,-99,0,1,1,-99,1,1,0,1,0,-99,-99,1,1,-99,-99,0,0,-99
5/1/2024,15,-99,1,-99,-99,1,0,1,0,1,0,1,0,-99,1,-99,0,1,1,-99,1,1,0,1,0,-99,-99,1,1,-99,-99,0,0,-99
5/1/2024,16,-99,1,-99,-99,1,0,1,0,1,0,1,-99,-99,1,-99,0,2,1,-99,0,1,0,1,0,-99,-99,1,1,-99,-99,0,0,-99
5/1/2024,17,-99,1,-99,-99,1,0,1,0,1,0,1,0,-99,1,-99,0,2,1,-99,1,1,0,1,0,-99,-99,1,1,-99,-99,0,0,-99
5/1/2024,18,-99,1,-99,-99,1,0,1,0,1,0,1,1,-99,1,-99,0,1,1,-99,1,1,0,1,0,-99,-99,1,1,-99,-99,0,0,-99
5/1/2024,19,-99,1,-99,-99,1,0,2,0,1,1,1,1,-99,1,-99,0,2,2,-99,1,-99,0,1,0,-99,-99,-99,1,-99,-99,0,0,-99
5/1/2024,20,-99,1,-99,-99,1,0,2,0,1,1,1,0,-99,1,-99,1,2,2,-99,1,-99,0,1,1,-99,-99,-99,1,-99,-99,1,1,-99
5/1/2024,21,-99,1,-99,-99,1,0,2,0,1,1,1,0,-99,1,-99,1,2,2,-99,1,-99,0,1,1,-99,-99,1,1,-99,-99,0,1,-99
5/1/2024,22,-99,1,-99,-99,1,0,1,0,1,1,2,1,-99,1,-99,1,2,2,-99,1,2,0,1,1,-99,-99,1,1,-99,-99,1,1,-99
5/1/2024,23,-99,1,-99,-99,1,0,1,0,1,1,1,0,-99,1,-99,1,2,2,-99,1,2,0,1,1,-99,-99,1,1,-99,-99,1,2,-99
5/1/2024,24,-99,1,-99,-99,1,1,1,0,1,1,2,1,-99,2,-99,1,3,2,-99,1,1,0,1,1,-99,-99,1,3,-99,-99,1,3,-99
6/1/2024,1,-99,1,-99,-99,0,1,1,0,1,1,2,1,-99,2,-99,1,3,2,-99,1,1,0,1,1,-99,-99,1,2,-99,-99,1,2,-99
6/1/2024,2,-99,1,-99,-99,2,0,1,0,1,0,1,1,-99,3,-99,1,3,3,-99,1,-99,0,1,2,-99,-99,1,1,-99,-99,1,2,-99
6/1/2024,3,-99,1,-99,-99,2,0,1,0,1,1,1,1,-99,2,-99,1,2,2,-99,1,1,0,1,1,-99,-99,1,1,-99,-99,1,2,-99
6/1/2024,4,-99,1,-99,-99,2,0,1,0,1,1,1,1,-99,1,-99,0,2,2,-99,1,1,0,1,1,-99,-99,0,1,-99,-99,0,2,-99
6/1/2024,5,-99,1,-99,-99,1,1,1,0,1,1,2,1,-99,1,-99,0,2,2,-99,1,1,0,1,1,-99,-99,1,1,-99,-99,0,2,-99
6/1/2024,6,-99,1,-99,-99,2,1,1,0,1,1,2,1,-99,1,-99,0,3,2,-99,1,1,0,1,1,-99,-99,1,1,-99,-99,0,2,-99
6/1/2024,7,-99,1,-99,-99,2,1,1,0,1,1,2,1,-99,2,-99,0,5,2,-99,1,1,0,1,1,-99,-99,1,1,-99,-99,0,2,-99
6/1/2024,8,-99,1,-99,-99,4,1,1,0,1,1,2,2,-99,2,-99,1,4,2,-99,1,1,0,1,2,-99,-99,1,1,-99,-99,1,3,-99
6/1/2024,9,-99,1,-99,-99,4,1,1,0,3,1,4,1,-99,2,-99,0,3,2,-99,1,3,0,1,-99,-99,-99,1,2,-99,-99,2,4,-99
6/1/2024,10,-99,1,-99,-99,1,0,1,0,3,0,2,1,-99,1,-99,0,2,2,-99,1,2,0,1,1,-99,-99,1,2,-99,-99,0,4,-99
6/1/2024,11,-99,1,3,-99,1,0,1,0,3,0,1,1,-99,1,-99,0,2,2,-99,1,1,0,0,1,-99,-99,1,2,-99,-99,0,2,-99
6/1/2024,12,-99,1,1,-99,0,0,1,0,3,0,1,1,-99,1,-99,0,1,2,-99,1,1,0,1,0,-99,-99,1,1,-99,-99,0,1,-99
6/1/2024,13,-99,1,1,-99,1,0,1,0,2,1,1,0,-99,1,-99,0,2,1,-99,0,1,0,1,0,-99,-99,1,2,-99,-99,0,1,-99
6/1/2024,14,-99,1,1,-99,1,0,1,0,1,1,1,1,-99,1,-99,1,2,2,-99,1,1,0,1,1,-99,-99,-99,2,-99,-99,0,1,-99
6/1/2024,15,-99,1,1,-99,1,0,1,0,1,1,1,1,-99,1,-99,0,2,1,-99,1,1,0,1,1,-99,-99,1,2,-99,-99,0,0,-99
6/1/2024,16,-99,1,1,-99,1,0,1,0,1,1,1,0,-99,1,-99,0,-99,1,-99,1,1,0,1,0,-99,-99,1,1,-99,-99,0,0,-99
6/1/2024,17,-99,1,1,-99,1,0,1,0,1,1,1,0,-99,1,-99,0,2,1,-99,1,1,0,1,0,-99,-99,1,1,-99,-99,0,0,-99
6/1/2024,18,-99,1,1,-99,1,0,1,0,1,1,1,0,-99,1,-99,0,2,1,-99,1,1,0,1,1,-99,-99,1,1,-99,-99,0,0,-99
6/1/2024,19,-99,1,1,-99,1,0,1,0,1,1,1,0,-99,1,-99,0,2,1,-99,1,1,0,1,1,-99,-99,1,1,-99,-99,0,0,-99
6/1/2024,20,-99,1,1,-99,1,0,1,0,1,0,1,0,-99,1,-99,0,3,1,-99,1,1,0,1,1,-99,-99,1,-99,-99,-99,1,0,-99
6/1/2024,21,-99,1,1,-99,1,-99,1,0,1,1,1,0,-99,1,-99,0,2,1,-99,1,1,0,1,1,-99,-99,1,1,-99,-99,1,0,-99
6/1/2024,22,-99,1,1,-99,1,0,2,0,1,1,1,0,-99,1,-99,1,2,1,-99,1,2,0,1,1,-99,-99,1,1,-99,-99,1,1,-99
6/1/2024,23,-99,1,1,-99,1,0,1,0,1,1,2,1,-99,1,-99,1,3,2,-99,1,2,0,1,1,-99,-99,1,1,-99,-99,1,1,-99
6/1/2024,24,-99,1,1,-99,1,0,2,0,1,1,2,1,-99,1,-99,0,2,2,-99,1,2,0,1,1,-99,-99,1,2,-99,-99,1,1,-99
7/1/2024,1,-99,1,1,-99,2,0,2,0,1,1,2,1,-99,1,-99,1,2,2,-99,1,2,0,1,1,-99,-99,1,1,-99,-99,0,1,-99
7/1/2024,2,-99,1,1,-99,1,-99,1,0,1,1,2,1,-99,1,-99,0,2,2,-99,1,2,0,2,1,-99,-99,1,1,-99,-99,0,1,-99
7/1/2024,3,-99,1,1,-99,1,0,2,0,1,0,1,1,-99,1,-99,0,2,2,-99,1,2,0,1,0,-99,-99,1,1,-99,-99,0,1,-99
7/1/2024,4,-99,1,1,-99,-99,0,2,0,1,0,1,1,-99,1,-99,0,2,2,-99,1,3,0,2,1,-99,-99,1,1,-99,-99,0,1,-99
7/1/2024,5,-99,1,1,-99,-99,0,2,0,1,0,1,1,-99,1,-99,1,2,2,-99,1,2,0,1,1,-99,-99,1,1,-99,-99,0,1,-99
7/1/2024,6,-99,1,1,-99,-99,0,2,0,1,0,1,0,-99,1,-99,1,2,2,-99,1,3,0,1,0,-99,-99,1,2,-99,-99,0,2,-99
7/1/2024,7,-99,1,1,-99,1,0,2,0,1,1,1,1,-99,2,-99,2,3,2,-99,1,3,0,1,1,-99,-99,1,2,-99,-99,0,1,-99
7/1/2024,8,-99,1,2,-99,1,1,3,0,1,1,1,1,-99,2,-99,2,4,2,-99,1,2,0,1,1,-99,-99,1,2,-99,-99,1,1,-99
7/1/2024,9,-99,1,3,-99,2,1,2,0,1,2,1,1,-99,2,-99,2,3,2,-99,1,5,1,2,1,-99,-99,1,3,-99,-99,1,2,-99
7/1/2024,10,-99,2,4,-99,2,1,1,0,1,2,2,2,-99,2,-99,2,3,3,-99,1,3,0,2,2,-99,-99,1,4,-99,-99,1,1,-99
7/1/2024,11,-99,2,3,-99,2,1,1,0,2,4,3,2,-99,3,-99,2,3,3,-99,1,3,0,1,2,-99,-99,1,10,-99,-99,1,3,-99
7/1/2024,12,-99,2,5,-99,2,1,1,0,3,4,3,2,-99,3,-99,2,4,3,-99,1,3,0,1,1,-99,-99,1,6,-99,-99,1,3,-99
7/1/2024,13,-99,2,5,-99,-99,1,-99,0,3,2,2,2,-99,3,-99,2,4,3,-99,1,2,0,1,2,-99,-99,1,5,-99,-99,1,3,-99
7/1/2024,14,-99,2,4,-99,2,1,1,0,3,2,2,2,-99,2,-99,2,3,3,-99,1,1,1,1,2,-99,-99,1,5,-99,-99,1,2,-99
7/1/2024,15,-99,2,4,-99,2,1,1,0,4,2,1,1,-99,1,-99,1,2,3,-99,1,1,0,1,0,-99,-99,1,2,-99,-99,0,2,-99
